,Price,Supply,Demand
1,294.2307692,55386.26609,57690.417689999995
2,300.0,55386.26609,57862.40786
3,313.46153849999996,55987.12446,57862.40786
4,307.6923077,57446.35193,56228.501229999994
5,286.53846150000004,54098.71245,56142.50614
6,298.0769231,51952.7897,56314.49631
7,263.46153849999996,47832.61803,60356.265360000005
8,317.3076923,48605.15021,60442.26044
9,311.53846150000004,49892.70386,57862.40786
10,328.8461538,51351.93133,57776.41278
11,328.8461538,50579.399139999994,58292.38329
12,344.2307692,51094.4206,58206.388210000005
13,342.3076923,50236.0515,57948.40295
14,344.2307692,49721.03004,58206.388210000005
15,338.46153849999996,52553.648069999996,55454.54545
16,340.3846154,52639.48498,55626.53563
17,348.0769231,54442.06009,61302.2113
18,359.6153846,56072.961370000005,61216.21622
19,361.53846150000004,56587.98282999999,61216.21622
20,375.0,56072.961370000005,48402.9484
21,376.9230769,55901.28755,48144.96314
22,401.9230769,54184.549360000005,48058.96806
23,390.3846154,54356.22317999999,41265.35627
24,396.1538462,53583.690989999996,41265.35627
25,428.84615379999997,52896.99571,41265.35627
26,405.7692308,50150.214589999996,40061.42506
27,403.8461538,48862.660939999994,40061.42506
28,413.46153849999996,48347.63948,40147.42015
29,384.6153846,48690.98712,41265.35627
30,384.6153846,48519.3133,47714.98771
31,444.2307692,50579.399139999994,44017.19902
32,475.0,49206.00858,41695.3317
33,482.69230769999996,51952.7897,41781.32678
34,536.5384615,52467.811160000005,41867.32187
35,490.38461540000003,54356.22317999999,41781.32678
36,507.69230769999996,55042.91845,44361.17936
37,496.15384620000003,57961.37339,44017.19902
38,421.15384620000003,59163.09013,44103.1941
39,705.7692308,58905.5794,44103.1941
40,717.3076923,60364.80687000001,39631.44963
41,871.1538462000001,60708.15451,39545.45455
42,815.3846154,56759.65665,39459.459460000005
43,838.4615385,56502.14592,44791.15479
44,755.7692308,52896.99571,44963.144960000005
45,775.0,51866.952789999996,45135.13514
46,813.4615385,52296.13734,44275.18428
47,821.1538462,53841.201720000005,44791.15479
48,873.0769231,49034.334760000005,45135.13514
49,917.3076923,48175.96567,45995.085999999996
50,957.6923077,50064.37768,46855.03686
51,965.3846153999999,52639.48498,47628.99263
52,1359.615385,52896.99571,47542.99754
53,1359.615385,49463.51931,50810.81081
54,1305.769231,49120.171669999996,50810.81081
55,1255.769231,49978.54077,53218.67322
56,1213.461538,49206.00858,53562.65356
57,1178.8461539999998,51008.58369,53218.67322
58,1136.538462,49034.334760000005,53906.633910000004
59,1130.769231,46115.87983,54422.60442
60,1151.923077,44141.6309,54594.59459
61,1090.384615,43798.283260000004,54680.58968
62,1038.461538,47317.59657,54680.58968
63,1034.615385,48004.29185,55196.5602
64,990.3846153999999,44399.14163,54164.61916
65,1134.615385,37188.8412,53304.6683
66,1276.923077,38562.23176,53046.68305
67,1282.692308,42682.40343,53046.68305
68,1305.769231,43712.44635,52960.68796
69,1313.461538,43283.2618,53046.68305
70,1348.076923,44570.81545,53218.67322
71,1350.0,45600.85837,44533.16953
72,1394.230769,41995.70815,44791.15479
73,1355.769231,43197.424889999995,44275.18428
74,1036.538462,26974.24893,44791.15479
75,875.0,31695.27897,45307.12531
76,875.0,36845.49356,45135.13514
77,911.5384615,39935.62232,46167.07617
78,855.7692308000001,41652.36052,46167.07617
79,867.3076923,42081.545060000004,42555.28256
80,819.2307692,43197.424889999995,42555.28256
81,813.4615385,42854.07725,42727.272730000004
82,813.4615385,42253.21888,42383.29238
83,780.7692308,41566.523610000004,42383.29238
84,811.5384615,45600.85837,42727.272730000004
85,761.5384615,47918.454939999996,42383.29238
86,732.6923077,48175.96567,42813.267810000005
87,725.0,50064.37768,43071.25307
88,688.4615385,49721.03004,42727.272730000004
89,678.8461538,50836.909869999996,40319.410319999995
90,678.8461538,51609.44206,39631.44963
91,682.6923077,51866.952789999996,39889.43489
92,688.4615385,52553.648069999996,39717.44472
93,644.2307692,48347.63948,39631.44963
94,628.8461538,51008.58369,39115.479119999996
95,590.3846154,46802.575110000005,39029.48403
96,523.0769231,46287.55365,39115.479119999996
97,532.6923077,48347.63948,39975.42998
98,467.30769230000004,45429.18455,39975.42998
99,375.0,44313.30472,39545.45455
100,390.3846154,44656.65236,39115.479119999996
101,375.0,45429.18455,39631.44963
102,367.3076923,45429.18455,39631.44963
103,384.6153846,45515.02146,39459.459460000005
104,336.53846150000004,46459.22747,39201.4742
105,325.0,45686.69528,39029.48403
106,305.7692308,46030.04292,39803.4398
107,290.3846154,45772.53219,38943.488939999996
108,305.7692308,46974.24893,39373.46437
109,357.6923077,40450.64378,38943.488939999996
110,342.3076923,40536.48069,38943.488939999996
111,332.6923077,39763.9485,38943.488939999996
112,340.3846154,39248.927039999995,50380.835380000004
113,311.53846150000004,42167.38197,50638.82064
114,353.8461538,42682.40343,50638.82064
115,326.9230769,44399.14163,53046.68305
116,332.6923077,44227.46781,53304.6683
117,290.3846154,35214.59227,34385.74939
118,296.1538462,34957.08155,34299.7543
119,313.46153849999996,28690.987119999998,34557.73956
120,457.69230769999996,35128.75536,34299.7543
121,505.7692308,36416.309010000004,32407.86241
122,513.4615385,36759.65665,32407.86241
123,526.9230769,37446.351930000004,31031.94103
124,476.92307689999996,39334.76395,32407.86241
125,498.07692310000004,40622.3176,30859.95086
126,488.46153849999996,41480.6867,30687.960689999996
127,528.8461538,42081.545060000004,30687.960689999996
128,542.3076923,43197.424889999995,30945.94595
129,605.7692308,43283.2618,30773.95577
130,590.3846154,44742.48927,30773.95577
131,636.5384615,44742.48927,30773.95577
132,646.1538462,43283.2618,44189.18919
133,673.0769231,40364.80687,44791.15479
134,680.7692308,41566.523610000004,45307.12531
135,680.7692308,40622.3176,44275.18428
136,713.4615385,40965.665239999995,44103.1941
137,707.6923077,43111.587980000004,44017.19902
138,734.6153846,43111.587980000004,44791.15479
139,713.4615385,46459.22747,44447.17445
140,701.9230769,46373.39056,44533.16953
141,696.1538462,45772.53219,43845.20885
142,709.6153846,38905.5794,44447.17445
143,715.3846154,38047.2103,44791.15479
144,728.8461538,38562.23176,39201.4742
145,725.0,39077.25322,41007.37101
146,736.5384615,35472.102999999996,55368.550370000004
147,728.8461538,35901.28755,58378.378379999995
148,721.1538462,36502.145919999995,64914.00491
149,480.7692308,32811.1588,47891.7
